error_count,complexity_score,past_score,cognitive_state,rule_id,label_source,rater
1,2,55,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,20,53,High Cognitive Load,R4,rubric,cognitive_rubric.v1
2,7,47,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,3,59,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,18,23,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
2,11,42,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,13,62,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,4,56,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,3,63,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,6,32,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,3,61,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,9,66,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,2,54,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,41,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,2,51,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,7,92,High Cognitive Load,R6,rubric,cognitive_rubric.v1
2,16,68,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
3,9,63,High Cognitive Load,R6,rubric,cognitive_rubric.v1
2,4,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,3,77,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,7,74,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,37,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,2,41,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,4,65,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,2,46,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,14,57,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,11,57,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,5,100,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,5,83,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
5,17,39,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
4,2,51,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,10,48,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,16,83,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,12,43,High Cognitive Load,R4,rubric,cognitive_rubric.v1
2,3,21,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,3,64,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,6,63,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,18,72,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
6,8,63,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,5,58,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,8,31,High Cognitive Load,R6,rubric,cognitive_rubric.v1
3,2,28,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,5,18,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
5,10,44,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
1,4,31,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,13,88,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,5,67,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,6,49,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,8,65,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
4,8,73,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,3,73,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
6,15,49,Needs Simple Basics,R2,rubric_coverage_topup,cognitive_rubric.v1
5,8,38,Needs Simple Basics,R2,rubric_coverage_topup,cognitive_rubric.v1
1,2,54,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,10,46,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,4,68,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,6,26,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
6,18,46,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,4,19,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,9,56,High Cognitive Load,R6,rubric,cognitive_rubric.v1
2,3,75,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
6,4,16,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,19,60,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,2,55,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,6,40,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,18,47,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
2,4,79,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,8,100,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,20,62,High Cognitive Load,R4,rubric,cognitive_rubric.v1
5,9,90,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,2,65,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,3,40,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,6,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
4,5,35,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,3,41,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,9,59,High Cognitive Load,R6,rubric,cognitive_rubric.v1
4,1,63,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,5,67,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,9,68,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,17,66,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
2,19,60,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,2,66,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,7,66,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,10,92,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,4,0,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,3,78,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,7,84,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,3,78,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,16,66,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
3,1,49,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,3,53,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,11,70,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
6,20,33,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,6,83,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
5,20,71,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,12,59,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
5,9,68,High Cognitive Load,R5,rubric,cognitive_rubric.v1
2,6,65,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,7,82,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
4,7,71,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
5,9,38,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
4,7,76,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
4,4,70,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,1,54,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,15,70,High Cognitive Load,R7,rubric,cognitive_rubric.v1
3,5,67,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,3,85,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,4,27,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,5,53,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,20,54,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,7,97,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,2,66,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,14,73,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,5,49,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,3,72,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,4,93,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,2,83,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
6,18,36,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
2,3,47,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,27,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,5,22,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,4,63,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,11,81,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,4,95,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,84,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
6,20,52,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
1,7,62,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,61,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,17,62,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,5,84,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,4,39,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
5,10,61,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,20,42,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,1,66,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,2,61,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,9,64,High Cognitive Load,R6,rubric,cognitive_rubric.v1
3,2,62,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,14,55,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,4,32,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,10,65,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,7,41,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,13,60,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
5,7,20,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
5,8,78,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,13,44,High Cognitive Load,R7,rubric,cognitive_rubric.v1
1,10,45,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,1,78,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,8,62,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,49,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,10,62,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,45,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,3,54,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
7,12,43,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,8,27,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,2,53,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,1,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,13,33,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,4,66,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,7,33,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,4,30,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,6,51,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,9,64,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,14,79,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,5,54,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,6,75,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,1,43,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,5,88,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,3,79,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,20,92,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,5,1,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,6,75,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,14,22,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,4,68,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,10,49,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,4,72,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,3,53,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,4,48,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,2,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,3,49,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,45,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,12,55,High Cognitive Load,R7,rubric,cognitive_rubric.v1
1,3,53,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,7,65,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,4,70,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,3,60,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,11,58,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,6,64,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,1,100,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,4,46,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,12,68,High Cognitive Load,R7,rubric,cognitive_rubric.v1
7,20,40,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
